angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.06,,"[549, 136, 167, 217]",,0.0,,0.0,,0.04,,0.85,,0.04,,0.0,
0.15,,"[551, 136, 168, 220]",,0.0,,0.01,,0.07,,0.73,,0.04,,0.0,
0.21,,"[552, 136, 169, 220]",,0.0,,0.01,,0.04,,0.71,,0.04,,0.0,
0.13,,"[550, 133, 167, 216]",,0.0,,0.0,,0.04,,0.78,,0.04,,0.0,
0.37,,"[553, 137, 164, 214]",,0.0,,0.02,,0.06,,0.49,,0.06,,0.0,
0.2,,"[551, 131, 171, 220]",,0.0,,0.01,,0.08,,0.67,,0.04,,0.0,
0.22,,"[550, 133, 169, 217]",,0.0,,0.01,,0.06,,0.64,,0.06,,0.0,
0.38,,"[558, 139, 165, 212]",,0.0,,0.02,,0.02,,0.55,,0.02,,0.0,
0.42,,"[552, 132, 168, 218]",,0.0,,0.03,,0.04,,0.43,,0.07,,0.01,
0.46,,"[551, 132, 170, 217]",,0.0,,0.03,,0.04,,0.39,,0.07,,0.01,
0.44,,"[552, 129, 170, 220]",,0.0,,0.03,,0.06,,0.38,,0.09,,0.01,
0.29,,"[554, 130, 167, 218]",,0.0,,0.03,,0.1,,0.52,,0.06,,0.01,
0.21,,"[554, 130, 166, 216]",,0.0,,0.03,,0.06,,0.64,,0.06,,0.01,
0.22,,"[555, 130, 164, 215]",,0.0,,0.02,,0.07,,0.64,,0.06,,0.0,
0.32,,"[552, 130, 167, 217]",,0.0,,0.01,,0.05,,0.56,,0.06,,0.0,
0.37,,"[551, 128, 171, 222]",,0.0,,0.01,,0.04,,0.53,,0.04,,0.0,
0.33,,"[553, 129, 169, 221]",,0.0,,0.01,,0.03,,0.59,,0.04,,0.0,
0.23,,"[551, 132, 169, 217]",,0.0,,0.02,,0.05,,0.67,,0.04,,0.0,
0.42,,"[550, 132, 170, 220]",,0.0,,0.04,,0.07,,0.42,,0.04,,0.01,
0.36,,"[551, 133, 169, 219]",,0.0,,0.02,,0.14,,0.46,,0.02,,0.0,
0.37,,"[550, 134, 167, 215]",,0.0,,0.06,,0.18,,0.25,,0.11,,0.02,
0.26,,"[549, 134, 169, 218]",,0.0,,0.03,,0.05,,0.59,,0.07,,0.0,
0.37,,"[550, 138, 167, 216]",,0.0,,0.03,,0.04,,0.51,,0.04,,0.0,
0.35,,"[552, 139, 165, 215]",,0.0,,0.02,,0.03,,0.57,,0.03,,0.0,
0.22,,"[551, 138, 169, 218]",,0.0,,0.02,,0.03,,0.71,,0.02,,0.0,
0.3,,"[555, 138, 166, 216]",,0.0,,0.02,,0.01,,0.65,,0.03,,0.0,
0.22,,"[553, 137, 167, 217]",,0.0,,0.01,,0.02,,0.72,,0.03,,0.0,
0.41,,"[554, 140, 164, 214]",,0.0,,0.02,,0.02,,0.54,,0.01,,0.0,
0.09,,"[552, 135, 165, 213]",,0.0,,0.01,,0.08,,0.79,,0.04,,0.0,
0.54,,"[557, 142, 165, 211]",,0.0,,0.02,,0.01,,0.4,,0.02,,0.01,
0.22,,"[553, 137, 166, 217]",,0.0,,0.03,,0.11,,0.59,,0.04,,0.02,
0.65,,"[557, 141, 167, 215]",,0.0,,0.02,,0.02,,0.29,,0.01,,0.01,
0.55,,"[555, 142, 168, 214]",,0.0,,0.03,,0.09,,0.27,,0.02,,0.03,
0.66,,"[557, 143, 168, 219]",,0.0,,0.04,,0.04,,0.23,,0.02,,0.01,
0.29,,"[558, 145, 167, 212]",,0.0,,0.03,,0.02,,0.62,,0.03,,0.01,
0.2,,"[554, 139, 164, 215]",,0.0,,0.03,,0.11,,0.57,,0.06,,0.03,
0.16,,"[555, 138, 166, 218]",,0.0,,0.02,,0.11,,0.67,,0.04,,0.01,
0.16,,"[555, 138, 165, 217]",,0.0,,0.01,,0.06,,0.73,,0.03,,0.01,
0.18,,"[554, 138, 166, 217]",,0.0,,0.01,,0.06,,0.7,,0.03,,0.01,
0.19,,"[554, 137, 168, 221]",,0.0,,0.01,,0.04,,0.73,,0.03,,0.01,
0.16,,"[553, 138, 169, 221]",,0.0,,0.01,,0.06,,0.74,,0.03,,0.0,
0.16,,"[555, 140, 165, 216]",,0.0,,0.01,,0.11,,0.68,,0.03,,0.01,
0.25,,"[554, 137, 170, 223]",,0.0,,0.01,,0.07,,0.64,,0.02,,0.01,
0.26,,"[554, 137, 170, 223]",,0.0,,0.01,,0.11,,0.59,,0.02,,0.01,
0.12,,"[554, 139, 168, 218]",,0.0,,0.01,,0.12,,0.71,,0.03,,0.01,
0.09,,"[553, 138, 167, 218]",,0.0,,0.0,,0.14,,0.73,,0.03,,0.0,
0.23,,"[554, 140, 167, 218]",,0.0,,0.01,,0.07,,0.65,,0.03,,0.0,
0.11,,"[552, 138, 169, 220]",,0.0,,0.0,,0.04,,0.83,,0.02,,0.0,
0.08,,"[550, 136, 174, 222]",,0.0,,0.0,,0.05,,0.85,,0.02,,0.0,
0.1,,"[553, 139, 169, 217]",,0.0,,0.0,,0.02,,0.86,,0.02,,0.0,
0.11,,"[552, 138, 168, 217]",,0.0,,0.0,,0.08,,0.78,,0.02,,0.0,
0.12,,"[552, 139, 169, 217]",,0.0,,0.0,,0.04,,0.8,,0.03,,0.0,
0.17,,"[552, 139, 169, 218]",,0.0,,0.01,,0.03,,0.76,,0.03,,0.01,
0.17,,"[553, 140, 167, 215]",,0.0,,0.01,,0.03,,0.75,,0.03,,0.01,
0.12,,"[549, 137, 173, 219]",,0.0,,0.0,,0.03,,0.82,,0.03,,0.0,
0.26,,"[552, 142, 170, 218]",,0.0,,0.0,,0.06,,0.64,,0.03,,0.0,
0.09,,"[548, 137, 172, 219]",,0.0,,0.0,,0.01,,0.88,,0.01,,0.0,
0.16,,"[543, 135, 170, 216]",,0.0,,0.01,,0.08,,0.72,,0.03,,0.01,
